TaskDifficulty,TaskRating,PlannedTime,RealTime,Engagement,TasksPerPeriod,Label
2.0,4.0,4.0,12.59,0.64,1,1.96
4.0,5.0,7.0,11.7,0.9,9,2.97
3.0,5.0,3.0,9.03,1.0,2,2.6
2.0,5.0,7.0,14.38,0.52,9,2.3
1.0,5.0,4.0,3.81,0.95,2,2.21
1.0,5.0,6.0,2.53,0.81,9,2.59
1.0,5.0,8.0,12.96,0.99,6,2.08
3.0,5.0,2.0,7.15,0.73,9,2.56
2.0,4.0,8.0,12.86,0.92,6,2.08
3.0,5.0,8.0,13.5,0.53,6,2.63
1.0,4.0,6.0,1.87,0.67,2,2.53
4.0,5.0,7.0,13.37,0.53,8,2.91
3.0,5.0,2.0,7.28,0.99,3,2.58
1.0,4.0,1.0,8.15,0.91,7,1.63
1.0,5.0,5.0,9.77,0.93,5,2.05
1.0,5.0,6.0,13.97,0.97,3,2.03
2.0,4.0,4.0,1.27,0.54,1,2.8
2.0,5.0,1.0,7.68,0.69,8,2.21
2.0,5.0,5.0,10.63,0.54,3,2.3
1.0,4.0,4.0,11.12,0.61,2,1.67
2.0,5.0,8.0,10.7,0.61,1,2.39
1.0,4.0,3.0,2.88,0.73,4,1.89
1.0,5.0,4.0,5.19,0.63,8,2.09
2.0,5.0,2.0,6.02,0.55,3,2.25
2.0,5.0,2.0,12.26,0.58,1,2.21
3.0,5.0,3.0,4.9,0.57,4,2.64
1.0,5.0,1.0,3.95,0.99,9,1.97
2.0,5.0,5.0,14.4,0.88,1,2.29
2.0,4.0,4.0,1.12,0.98,2,2.97
1.0,5.0,2.0,14.97,0.72,9,1.91
2.0,4.0,1.0,10.48,0.64,2,1.89
1.0,5.0,3.0,12.6,0.9,3,1.96
1.0,4.0,7.0,5.12,0.66,7,1.98
4.0,4.0,6.0,1.2,0.65,3,3.97
4.0,4.0,7.0,11.33,0.62,9,2.65
3.0,5.0,7.0,12.68,0.56,6,2.62
2.0,4.0,2.0,11.37,0.63,3,1.92
1.0,5.0,8.0,3.0,0.68,9,2.67
2.0,4.0,8.0,11.55,0.84,1,2.09
2.0,4.0,3.0,11.76,0.53,3,1.93
1.0,5.0,4.0,10.22,0.61,1,1.98
2.0,5.0,8.0,11.73,0.9,2,2.39
1.0,4.0,7.0,12.84,0.57,8,1.72
4.0,5.0,8.0,9.59,0.67,7,3.02
1.0,5.0,7.0,2.24,0.93,2,2.83
2.0,5.0,5.0,7.83,0.58,2,2.35
2.0,4.0,2.0,2.09,0.54,9,2.14
2.0,4.0,2.0,6.71,0.74,6,1.96
2.0,5.0,4.0,6.7,0.65,5,2.34
1.0,4.0,8.0,1.92,0.78,6,2.83
4.0,5.0,8.0,5.88,0.9,9,3.2
3.0,5.0,6.0,2.55,0.57,7,3.16
4.0,5.0,1.0,12.32,0.79,9,2.8
3.0,5.0,5.0,14.27,0.75,4,2.58
2.0,5.0,2.0,2.01,0.57,2,2.46
4.0,4.0,5.0,14.37,0.81,8,2.59
1.0,5.0,2.0,8.32,0.64,4,1.94
1.0,5.0,5.0,5.19,0.74,9,2.16
1.0,5.0,3.0,2.08,0.54,4,2.29
2.0,5.0,7.0,8.01,0.73,8,2.44
2.0,5.0,2.0,12.12,0.65,9,2.21
1.0,5.0,5.0,10.9,0.91,9,2.03
3.0,5.0,8.0,1.7,0.53,4,3.86
2.0,5.0,1.0,2.02,0.71,1,2.32
1.0,5.0,3.0,6.64,0.73,3,2.01
2.0,5.0,3.0,5.13,0.86,9,2.36
1.0,4.0,1.0,4.25,0.79,4,1.65
3.0,4.0,5.0,4.93,0.83,5,2.49
1.0,4.0,8.0,12.25,0.89,7,1.78
4.0,4.0,4.0,14.01,0.93,5,2.58
3.0,4.0,1.0,6.67,0.66,4,2.21
1.0,4.0,5.0,13.69,0.77,2,1.69
1.0,4.0,1.0,5.5,0.92,2,1.65
3.0,4.0,1.0,7.67,0.99,4,2.24
3.0,5.0,2.0,4.16,0.94,9,2.64
3.0,5.0,5.0,9.97,0.69,8,2.62
3.0,4.0,4.0,14.71,0.6,3,2.24
1.0,5.0,7.0,9.45,0.74,9,2.1
2.0,4.0,2.0,6.01,0.87,5,1.99
1.0,5.0,1.0,10.07,0.75,3,1.9
3.0,5.0,7.0,2.72,0.74,5,3.25
2.0,4.0,6.0,13.44,0.92,4,2.03
2.0,5.0,7.0,8.04,0.68,8,2.43
1.0,5.0,1.0,7.29,0.93,5,1.93
2.0,5.0,1.0,9.2,0.7,8,2.2
2.0,5.0,8.0,9.75,0.66,9,2.41
3.0,5.0,5.0,2.0,0.73,4,3.22
2.0,4.0,5.0,10.56,0.88,7,2.03
3.0,5.0,2.0,4.39,0.56,2,2.59
2.0,4.0,4.0,11.0,0.6,6,1.97
1.0,5.0,2.0,12.52,0.98,8,1.95
3.0,5.0,3.0,12.26,0.59,7,2.53
3.0,5.0,1.0,8.74,0.78,7,2.51
2.0,5.0,7.0,8.28,0.79,8,2.43
3.0,4.0,6.0,3.0,0.74,7,2.77
2.0,4.0,1.0,11.85,0.82,5,1.91
2.0,4.0,1.0,4.8,0.61,7,1.92
2.0,4.0,2.0,7.95,0.78,3,1.95
1.0,5.0,6.0,4.98,0.69,5,2.23
1.0,4.0,6.0,2.87,0.83,7,2.21
1.0,4.0,6.0,9.81,0.57,9,1.74
2.0,5.0,2.0,1.76,0.79,2,2.52
2.0,5.0,1.0,11.48,0.59,4,2.19
2.0,5.0,2.0,5.45,0.64,7,2.27
4.0,5.0,5.0,1.0,0.61,1,4.26
1.0,4.0,5.0,8.16,0.59,2,1.74
2.0,4.0,2.0,1.66,0.91,9,2.25
3.0,5.0,6.0,4.87,0.64,7,2.83
1.0,5.0,8.0,10.9,0.96,7,2.12
1.0,4.0,1.0,1.88,0.98,6,1.76
1.0,5.0,2.0,12.75,0.79,3,1.93
1.0,4.0,2.0,1.05,0.57,3,2.13
4.0,4.0,2.0,4.46,0.69,2,2.6
3.0,5.0,8.0,11.37,0.9,6,2.7
2.0,5.0,8.0,5.43,0.68,4,2.61
3.0,5.0,3.0,2.43,0.54,5,2.82
3.0,4.0,5.0,6.04,0.78,3,2.43
1.0,5.0,7.0,4.79,0.92,6,2.33
3.0,4.0,6.0,12.8,0.9,3,2.33
2.0,4.0,4.0,5.39,0.59,8,2.08
3.0,5.0,8.0,12.05,0.84,9,2.68
3.0,5.0,7.0,13.49,0.61,4,2.62
2.0,5.0,8.0,7.07,0.61,9,2.5
1.0,5.0,6.0,13.74,0.94,7,2.03
1.0,5.0,4.0,6.28,0.62,3,2.05
2.0,5.0,3.0,14.5,0.63,7,2.23
3.0,4.0,2.0,2.25,0.5,1,2.42
3.0,5.0,3.0,10.62,0.94,3,2.58
1.0,4.0,8.0,7.91,0.9,6,1.89
2.0,4.0,3.0,6.43,0.81,4,2.02
2.0,5.0,7.0,9.86,0.88,7,2.4
1.0,5.0,1.0,10.85,0.58,3,1.89
1.0,4.0,8.0,1.06,0.73,1,3.84
2.0,4.0,8.0,3.34,0.68,9,2.59
4.0,5.0,7.0,10.98,0.55,6,2.95
2.0,4.0,5.0,10.33,0.74,8,2.02
2.0,5.0,4.0,14.52,0.96,3,2.28
3.0,5.0,2.0,11.65,0.52,8,2.5
2.0,5.0,7.0,14.31,0.65,2,2.31
4.0,5.0,4.0,10.84,0.6,4,2.87
4.0,5.0,6.0,5.17,0.62,3,3.11
1.0,4.0,4.0,2.48,0.95,1,2.08
2.0,5.0,6.0,11.95,0.73,7,2.32
2.0,5.0,7.0,10.02,0.73,2,2.38
1.0,4.0,8.0,1.67,0.88,4,3.03
1.0,5.0,8.0,6.04,0.58,9,2.26
2.0,5.0,5.0,14.4,0.74,6,2.28
2.0,5.0,7.0,8.01,0.71,8,2.43
1.0,5.0,6.0,7.06,0.8,2,2.13
1.0,5.0,4.0,7.41,1.0,7,2.06
4.0,5.0,4.0,3.92,0.88,6,3.09
1.0,5.0,6.0,6.16,0.7,9,2.16
1.0,5.0,3.0,6.18,0.91,7,2.04
2.0,5.0,5.0,1.73,0.59,1,3.03
4.0,5.0,1.0,11.75,0.52,8,2.78
1.0,5.0,8.0,6.83,0.6,3,2.21
2.0,4.0,2.0,12.51,0.67,2,1.91
3.0,5.0,4.0,12.9,0.76,3,2.57
1.0,5.0,2.0,3.97,0.81,6,2.03
3.0,4.0,1.0,10.2,0.96,3,2.23
2.0,5.0,7.0,7.61,0.75,5,2.45
2.0,4.0,2.0,13.32,0.75,6,1.92
2.0,4.0,1.0,4.02,0.53,8,1.93
2.0,5.0,8.0,10.49,0.52,7,2.38
1.0,4.0,6.0,9.51,0.78,8,1.77
3.0,5.0,3.0,5.13,0.72,3,2.65
2.0,5.0,8.0,2.91,0.92,4,3.02
1.0,5.0,4.0,10.12,0.58,6,1.98
1.0,4.0,1.0,11.34,0.51,7,1.58
2.0,4.0,2.0,5.42,0.72,9,1.98
2.0,5.0,4.0,10.03,0.62,1,2.28
1.0,5.0,3.0,6.53,0.52,8,1.99
2.0,5.0,6.0,10.98,0.86,8,2.35
1.0,4.0,7.0,3.79,0.56,6,2.11
2.0,5.0,4.0,13.46,0.8,4,2.27
1.0,5.0,7.0,5.02,0.64,3,2.28
2.0,5.0,1.0,6.15,0.59,3,2.21
2.0,4.0,3.0,1.81,0.69,6,2.37
4.0,5.0,2.0,2.56,0.9,8,3.02
1.0,5.0,3.0,8.22,0.7,7,1.98
2.0,5.0,3.0,4.75,0.88,1,2.38
1.0,4.0,5.0,12.7,0.56,6,1.67
4.0,5.0,3.0,1.21,0.89,7,3.53
3.0,5.0,3.0,6.31,0.62,7,2.6
1.0,4.0,8.0,5.72,0.84,9,2.0
2.0,5.0,4.0,1.27,0.78,5,3.12
3.0,5.0,2.0,2.74,0.96,1,2.71
2.0,4.0,8.0,6.79,0.69,2,2.22
2.0,4.0,8.0,7.9,0.53,4,2.16
1.0,5.0,4.0,6.66,0.51,5,2.03
1.0,4.0,4.0,8.43,0.91,9,1.73
3.0,5.0,1.0,9.33,0.76,1,2.51
4.0,4.0,4.0,1.14,0.89,3,3.54
2.0,5.0,5.0,7.5,0.62,5,2.36
2.0,4.0,5.0,14.49,0.67,3,1.97
2.0,5.0,8.0,8.27,0.52,4,2.44
3.0,5.0,7.0,10.49,0.98,3,2.7
3.0,5.0,1.0,5.37,0.83,4,2.54
3.0,5.0,7.0,11.84,0.97,1,2.67
3.0,4.0,7.0,11.82,0.63,8,2.34
2.0,5.0,8.0,8.3,0.81,4,2.47
1.0,4.0,6.0,14.66,0.84,7,1.71
1.0,4.0,8.0,2.76,0.66,2,2.44
3.0,4.0,2.0,1.24,0.92,2,2.68
2.0,5.0,2.0,11.78,0.97,6,2.25
1.0,5.0,4.0,12.3,0.94,2,1.99
1.0,5.0,4.0,2.68,0.87,6,2.33
2.0,5.0,6.0,4.72,0.64,2,2.55
1.0,4.0,4.0,1.25,0.64,4,2.52
1.0,5.0,2.0,5.11,0.98,7,2.02
2.0,5.0,7.0,11.82,0.51,8,2.33
2.0,5.0,8.0,8.25,0.86,3,2.48
2.0,4.0,3.0,5.87,0.85,9,2.04
1.0,5.0,5.0,6.2,0.81,2,2.12
3.0,5.0,3.0,1.02,1.0,8,3.38
1.0,4.0,3.0,5.2,0.66,8,1.74
2.0,4.0,2.0,10.05,0.67,4,1.93
3.0,5.0,3.0,14.64,0.54,1,2.52
2.0,5.0,8.0,12.86,0.72,1,2.36
3.0,4.0,6.0,1.33,0.63,2,3.52
2.0,5.0,1.0,13.58,0.67,9,2.19
2.0,4.0,4.0,11.96,0.92,2,1.99
1.0,5.0,1.0,11.93,0.97,2,1.92
2.0,5.0,7.0,7.41,0.59,6,2.44
1.0,5.0,8.0,6.57,0.69,7,2.23
1.0,5.0,8.0,5.24,0.96,7,2.35
4.0,4.0,5.0,1.92,0.53,9,3.23
2.0,4.0,8.0,4.2,0.55,6,2.43
3.0,5.0,4.0,4.45,0.58,8,2.73
2.0,5.0,8.0,7.78,0.8,6,2.49
3.0,5.0,3.0,11.46,0.58,2,2.54
2.0,4.0,5.0,7.63,0.98,1,2.09
2.0,4.0,4.0,1.81,0.72,5,2.53
2.0,4.0,6.0,14.41,0.75,9,2.0
1.0,5.0,6.0,14.2,0.62,8,1.99
